Block_Size_Bits,Test_ID,Blocks_Generated,Execution_Time_Sec,Collision_Found
32,1,63721,0.1099,True
32,2,43989,0.0764,True
32,3,94690,0.1641,True
32,4,53377,0.094,True
32,5,48855,0.0851,True
32,6,67334,0.1198,True
32,7,38137,0.0653,True
32,8,46251,0.081,True
32,9,78947,0.1405,True
32,10,17944,0.033,True
32,11,91609,0.1638,True
32,12,39900,0.0697,True
128,1,50000,0.1272,False
128,2,50000,0.124,False
128,3,50000,0.1236,False
128,4,50000,0.1268,False
128,5,50000,0.1253,False
128,6,50000,0.1254,False
128,7,50000,0.1253,False
128,8,50000,0.1255,False
128,9,50000,0.1267,False
128,10,50000,0.1276,False
128,11,50000,0.127,False
128,12,50000,0.1268,False
128,13,50000,0.1271,False
128,14,50000,0.1254,False
128,15,50000,0.1263,False
128,16,50000,0.1261,False
128,17,50000,0.1268,False
128,18,50000,0.1268,False
128,19,50000,0.126,False
128,20,50000,0.1256,False
